APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,Keyword: Bioinformatics,Keyword: Computational,Keyword: Systems,Keyword: Sum,Keyword: At least one?
9268012,T32,EB,5,N,5/9/2017,5/1/2017,4/30/2018,286,T32EB008389,BIOMED ENGR/COL ENGR/ENGR STA,PA-14-015,5T32EB008389-08,NIBIB:72093\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,Neurosciences; ,MINNEAPOLIS,UNITED STATES,BIOMEDICAL ENGINEERING,5,555917996,US,1450402,UNIVERSITY OF MINNESOTA,MN,554552070,"PUBLIC HEALTH RELEVANCE: This training program will train doctoral students with a strong, broad foundation in neuroimaging integrating imaging science with neuroscience as well as the interdisciplinary skills needed for the neuroimaging workforce of tomorrow. Trained to be independent researchers/practitioners, the graduates will serve the health care needs of the nation in academics, teaching, industry, government and public service, and make important contributions to the diagnosis and management of disorders of nervous systems.",2272586; ,"CHEN, WEI ;","ERIM, ZEYNEP",5/1/2008,4/30/2020,neuroimaging; Training Programs; ,Integrative Training Program in Neuroimaging,8389,ZEB1,Special Emphasis Panel ,,,8,152196,9294,72093,0,0,1,1,TRUE
9304216,T32,GM,5,N,6/30/2017,7/1/2017,6/30/2018,859,T32GM008185,SCHOOLS OF MEDICINE,PA-11-184,5T32GM008185-30,NIGMS:165485\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,Health Disparities; ,LOS ANGELES,UNITED STATES,PHARMACOLOGY,33,92530369,US,577505,UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,900952000,"PUBLIC HEALTH RELEVANCE: The goals of the systems and integrative biology training program at UCLA is to train students to be proficient in both mathematical and biological/medical sciences, in order to help solve sophisticated problems in the increasingly complex world of biomedical research.",1973678; ,"CHOU, TOM ;","NIE, ZHONGZHEN",7/1/1987,6/30/2018,Biology; National Institute of General Medical Sciences; System; ,NIGMS Systems & Integrative Biology,8185,TWD,NIGMS Initial Review Group ,,,30,219414,13605,165485,0,0,2,2,TRUE
9283561,T32,GM,5,N,5/18/2017,7/1/2017,6/30/2018,859,T32GM008450,SCHOOLS OF MEDICINE,PA-11-184,5T32GM008450-24,NIGMS:247889\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,Emergency Care; Health Disparities; Injury (total) Accidents/Adverse Effects; ,CHAPEL HILL,UNITED STATES,SURGERY,4,608195277,US,578206,UNIV OF NORTH CAROLINA CHAPEL HILL,NC,275990001,"PUBLIC HEALTH RELEVANCE: Traumatic injury is the leading cause of death for Americans between the ages of 1 and 44, accounting for nearly half of all deaths in this age group, as well as significant long-term complications for many who survive, and the highly-specialized surgical care available at Level 1 trauma centers substantially improves patient survival and recovery from traumatic injury when compared to less specialized treatment. Further advances in the treatment of traumatic injury will require trauma surgeons to actively pursue the research necessary to make new discoveries and develop new systems of care, which is facilitated by adding formal preparation in the methods and application of scientific investigation to their clinical training. The program described herein provides the methodological and experiential groundwork essential for addressing this need.",1922662 (contact); 8817731; ,"CAIRNS, BRUCE A (contact); CHARLES, ANTHONY G;","SOMERS, SCOTT D",7/1/1992,6/30/2019,Fellowship; Trauma Research; ,Trauma Research Fellowship,8450,ZGM1,Special Emphasis Panel ,,,24,233082,14807,247889,0,0,1,1,TRUE
9482485,T32,GM,3,N,5/16/2017,7/1/2016,6/30/2018,859,T32GM007484,SCHOOLS OF ARTS AND SCIENCES,PA-10-036,3T32GM007484-40S1,NIGMS:279669\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,Health Disparities; Neurosciences; ,CAMBRIDGE,UNITED STATES,OTHER BASIC SCIENCES,7,1425594,US,4911501,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,21421029,"MIT's Integrative Neuronal Systems program provides interdisciplinary training for graduate students pursuing research careers related to the understanding of the human brain and mind. In addition to graduate coursework, students get hands-on laboratory experience using the latest techniques in neuroscience, including neurophysiology, brain imaging, genetics, molecular biology, and computation.",1928051; ,"DICARLO, JAMES J;","NIE, ZHONGZHEN",7/1/1977,6/30/2018,Neurons; System; ,Integrative Neuronal Systems,7484,BRT,National Institute of General Medical Sciences Initial Review Group ,,S1,40,266064,13605,279669,0,0,2,2,TRUE
9331693,T32,HG,5,N,8/14/2017,9/1/2017,8/31/2018,172,T32HG000035,SCHOOLS OF MEDICINE,PA-14-015,5T32HG000035-23,NHGRI:858205\,"TRAINING, INSTITUTIONAL",2017,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,Genetics; Human Genome; ,SEATTLE,UNITED STATES,GENETICS,7,605799469,US,9087701,UNIVERSITY OF WASHINGTON,WA,981959472,"PUBLIC HEALTH RELEVANCE: Genomics is integral to modern biomedical research and diagnosis. Genome-wide studies are used to identify potential genetic causes of disease, and proteomics is often used to identify biomarkers. Our program will train pre- and postdoctoral trainees for future biomedical and interdisciplinary research in genomics, proteomics, and computational biology.",2238304; ,"SWANSON, WILLIE J;","COLLEY, HEATHER",8/1/1995,8/31/2020,Genome; Science; Training; ,Interdisciplinary Training in Genome Sciences,35,ZHG1,Special Emphasis Panel ,,,23,898361,60726,858205,0,1,0,1,TRUE
9279191,T32,GM,5,N,5/19/2017,7/1/2017,6/30/2018,859,T32GM062754,SCHOOLS OF MEDICINE,PA-11-184,5T32GM062754-17,NIGMS:330348\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF GENERAL MEDICAL SCIENCES,Health Disparities; ,NEW YORK,UNITED STATES,PHARMACOLOGY,13,78861598,US,3839801,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,100296574,"PUBLIC HEALTH RELEVANCE: Breakthroughs that yield new drugs that ameliorate different human diseases, that yield new diagnostics or new therapeutic strategies, depend more and more upon researchers who apply quantitative computational methods to the complex biology of disease and drug interactions. We aim to foster these skills in talented Ph.D. and MD/Ph.D. students, enabling them to achieve the next generation of breakthroughs.",7013439; ,"SOBIE, ERIC A;","KODURI, SAILAJA",7/5/2001,6/30/2019,Pharmacology; Science; Training; ,Integrated Training in Pharmacological Sciences,62754,TWD,NIGMS Initial Review Group ,,,17,314475,15873,330348,0,1,0,1,TRUE
9460675,T32,HL,3,N,3/30/2017,12/1/2016,3/31/2017,837,T32HL125232,SCHOOLS OF MEDICINE,PA-14-015,3T32HL125232-01A1S1,NHLBI:10252\,"TRAINING, INSTITUTIONAL",2017,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",Cardiovascular; Heart Disease; ,BOSTON,UNITED STATES,INTERNAL MEDICINE/MEDICINE,7,604483045,US,894901,BOSTON UNIVERSITY MEDICAL CAMPUS,MA,21182841,"We offer a comprehensive two-year multidisciplinary training program in cardiovascular epidemiology for MDs and PhDs to pursue an academic and scientific research career addressing contemporary training needs of the specialty and using epidemiological databases (including from the Framingham Study) as a foundation. The program will graduate five postdoctoral trainees every two years in three different tracks (translational epidemiological research, statistical genetics-genomics, and bioinformatics-computational biology), with at least 20% underrepresented minorities. We will provide our trainees with multidisciplinary training that includes a broad curriculum to develop core competencies, mentored research projects under the direction of outstanding faculty, comprehensive mentorship, and appropriate career support to facilitate transition to independence.",6195169; ,"RAMACHANDRAN, VASAN S;","SILSBEE, LORRAINE M",4/1/2016,3/31/2021,cardiovascular disorder epidemiology; multidisciplinary; Training Programs; ,Multidisciplinary Training Program in Cardiovascular Epidemiology,125232,NITM,NHLBI Institutional Training Mechanism Review Committee ,,A1S1,1,9493,759,10252,1,1,0,2,TRUE
9270030,T32,EB,5,N,7/6/2017,6/1/2017,5/31/2018,286,T32EB021937,BIOMED ENGR/COL ENGR/ENGR STA,PA-14-015,5T32EB021937-02,NIBIB:189470\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,Bioengineering; ,NASHVILLE,UNITED STATES,BIOMEDICAL ENGINEERING,5,965717143,US,8721001,VANDERBILT UNIVERSITY,TN,372407749,"PUBLIC HEALTH RELEVANCE: Over the past several decades, dramatic breakthroughs in biomedical science have been witnessed within laboratory research. The ability to translate those discoveries as well as to make new discoveries within human investigations has been a challenge and has been often characterized as the bottleneck of clinical research. We hypothesize that the fundamental bottlenecks associated with clinical translational research can be dramatically loosened with the training of engineers intimately familiar with human treatment and trained in the inception of novel technology-based platforms. The purpose of this training program is to create a new cadre of researchers capable of creating, developing, implementing, clinically evaluating, and translating methods, devices, algorithms, and systems designed with a clear focus at one particular application of medicine, namely, to facilitate surgical/interventiona processes and their outcomes. Thematically, our trainees and training program will have a central focus - innovative platform technologies for treatment and discovery.",1923845; 6706151 (contact); ,"LABADIE, ROBERT F; MIGA, MICHAEL IAN (contact);","ERIM, ZEYNEP",6/1/2016,5/31/2021,Engineering; innovation; Intervention; Operative Surgical Procedures; Research; Training Programs; ,Training Program for Innovative Engineering Research in Surgery and Intervention,21937,ZEB1,Special Emphasis Panel ,,,2,180176,9294,189470,0,0,1,1,TRUE
9390242,T32,MH,3,N,4/27/2017,12/14/2016,6/30/2017,242,T32MH019117,SCHOOLS OF PUBLIC HEALTH,PA-16-287,3T32MH019117-27S1,NIMH:6442\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF MENTAL HEALTH,Clinical Research; Health Services; Mental Health; ,CHAPEL HILL,UNITED STATES,PUBLIC HEALTH & PREV MEDICINE,4,608195277,US,578206,UNIV OF NORTH CAROLINA CHAPEL HILL,NC,275990001,PUBLIC HEALTH RELEVANCE: Post-doctoral training is the pipeline to meeting the nation's future public mental health research needs. This postdoctoral program prepares young investigators for careers in mental health services and systems research to develop the knowledge-base for effective services and supports that can help improve the lives of people with serious mental illness.,1899992; ,"DOMINO, MARISA ELENA;","HILL, LAUREN D",12/14/2016,6/30/2017,Health system; Mental Health Services; Research Training; ,Research Training in Mental Health Services and Systems,19117,,,,S1,27,5965,477,6442,0,0,2,2,TRUE
9280928,T32,DK,5,N,6/7/2017,7/1/2017,6/30/2018,847,T32DK007161,SCHOOLS OF MEDICINE,PA-14-015,5T32DK007161-43,NIDDK:194714\,"TRAINING, INSTITUTIONAL",2017,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,Pediatric; ,SAN FRANCISCO,UNITED STATES,PEDIATRICS,12,94878337,US,577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,941186215,"PUBLIC HEALTH RELEVANCE    Hormonal systems regulate key physiologic processes in virtually all organ systems, and are especially important for growth, reproduction and carbohydrate homeostasis; these are areas addressed by Pediatric Endocrinology. Endocrine disorders include both the common, such as diabetes, obesity, and thyroid disorders, and the very rare. Well-trained Pediatric Endocrine basic science, translational, and clinical investigators are needed to advance this complex and rapidly developing field. This proposal seeks continued funding for one of the oldest and most successful Pediatric Endocrine Fellowship Training Programs, with the aim of continuing to produce innovative scientific and clinical leaders in this field",1899012; ,"GITELMAN, STEPHEN E;","CASTLE, ARTHUR",7/1/1976,6/30/2021,Childhood; Endocrinology; Training Programs; ,Training Program in Pediatric Endocrinology,7161,DDK,"Kidney, Urologic and Hematologic Diseases D Subcommittee ",,,43,203254,15732,194714,0,0,1,1,TRUE
